series_id, gyro, mag, accel, system, ax, ay, az, gx, gy, gz, mx, my, mz, eulerx, eulerx, eulerz, linax, linay, linaz, grx, gry, grz, qw, qx, qy, qz, qeulerx, qeulery, qeulerZ, temp, target 
0, 3,0,3,0,1.32,0.15,9.78,-0.37,1.06,0.44,326.38,35.25,-132.06,300.13,8.75,-1.06,-0.13,-0.03,0.1,1.49,0.18,9.69,0.86,0.05,-0.06,0.5,59.78,-8.75,1.08,33,good
0, 3,0,3,0,1.69,0.08,9.66,2.0,0.25,-3.75,240.5,31.19,-116.75,300.19,8.75,-1.12,0.39,0.29,-0.34,1.49,0.19,9.68,0.86,0.05,-0.06,0.5,59.67,-8.78,1.17,33,good
0, 3,0,3,0,1.88,0.44,9.29,2.06,-1.06,-0.31,213.56,31.19,-109.87,300.38,8.63,-1.19,0.4,0.23,-0.39,1.47,0.2,9.69,0.87,0.05,-0.06,0.5,59.5,-8.68,1.2,33,good
0, 3,0,3,0,1.5,0.32,9.62,-0.37,0.31,0.25,154.56,28.19,-119.56,300.31,8.56,-1.19,-0.02,0.06,-0.04,1.46,0.2,9.69,0.87,0.05,-0.06,0.5,59.57,-8.59,1.23,33,good
0, 3,0,3,0,1.8,0.36,9.38,0.75,0.69,0.06,241.19,29.69,-161.25,300.25,8.5,-1.25,0.34,0.14,-0.31,1.45,0.21,9.69,0.86,0.05,-0.06,0.5,59.62,-8.55,1.27,33,good
0, 3,0,3,0,1.62,0.3,9.49,-0.06,-0.19,-3.38,269.19,32.69,-123.56,300.38,8.44,-1.31,0.4,0.04,-0.19,1.44,0.22,9.69,0.87,0.05,-0.06,0.5,59.51,-8.5,1.32,33,good
0, 3,0,3,0,1.59,0.12,9.61,-1.25,0.5,-0.31,223.25,31.19,-118.37,300.56,8.44,-1.31,0.14,-0.1,-0.08,1.44,0.22,9.69,0.87,0.05,-0.06,0.49,59.32,-8.48,1.33,33,good
0, 3,0,3,0,1.4,0.33,9.31,0.56,3.75,0.12,311.5,34.19,-135.38,300.38,8.06,-1.19,0.02,0.12,-0.38,1.38,0.21,9.7,0.87,0.04,-0.06,0.5,59.47,-8.1,1.24,33,good
0, 3,0,3,0,1.14,0.3,9.58,-1.31,4.88,2.06,352.06,34.19,-149.06,300.06,7.69,-1.06,-0.17,0.11,-0.12,1.31,0.18,9.71,0.86,0.04,-0.05,0.5,59.85,-7.68,1.11,33,good
0, 3,0,3,0,0.93,0.02,9.86,-2.75,0.31,2.06,211.69,29.69,-160.75,299.94,7.56,-0.94,-0.35,-0.14,0.14,1.29,0.16,9.71,0.86,0.04,-0.05,0.5,59.94,-7.56,0.97,33,good
0, 3,0,3,0,1.21,0.2,9.67,1.0,2.25,-0.12,279.0,34.19,-127.69,300.0,7.63,-0.94,-0.08,0.04,-0.03,1.3,0.16,9.71,0.86,0.04,-0.05,0.5,59.88,-7.65,0.98,33,good
0, 3,0,3,0,1.27,0.25,9.82,-0.37,0.94,3.19,363.69,33.75,-158.69,300.06,7.56,-1.0,0.0,0.07,0.1,1.29,0.17,9.71,0.86,0.04,-0.05,0.5,59.84,-7.56,1.02,33,good
0, 3,0,3,0,1.31,0.25,9.52,-0.06,0.25,0.56,299.5,33.75,-130.5,300.0,7.69,-1.06,0.19,0.08,-0.03,1.31,0.18,9.71,0.86,0.04,-0.05,0.5,59.88,-7.72,1.08,33,good
0, 3,0,3,0,1.57,0.18,9.6,-0.12,1.88,-1.69,337.56,34.88,-141.75,300.25,7.81,-1.12,-0.02,0.06,-0.06,1.34,0.19,9.71,0.87,0.04,-0.05,0.5,59.65,-7.86,1.15,33,good
0, 3,0,3,0,1.36,0.23,9.68,-0.44,0.31,0.31,182.19,30.75,-154.06,300.13,7.75,-1.12,0.03,0.03,-0.02,1.33,0.19,9.71,0.86,0.04,-0.05,0.5,59.75,-7.81,1.15,33,good
0, 3,0,3,0,1.58,0.23,9.55,0.5,-1.56,0.63,270.25,33.06,-146.56,300.0,7.88,-1.06,0.23,0.04,-0.15,1.34,0.19,9.71,0.86,0.04,-0.05,0.5,59.87,-7.9,1.12,33,good
0, 3,0,3,0,1.23,0.29,9.55,0.63,1.19,-0.81,167.56,28.87,-126.87,300.13,7.75,-1.12,-0.09,0.1,-0.15,1.32,0.19,9.71,0.86,0.04,-0.05,0.5,59.79,-7.78,1.15,33,good
0, 3,0,3,0,1.44,0.29,9.43,0.63,-2.06,0.5,265.5,30.37,-156.5,300.13,7.81,-1.12,0.11,0.1,-0.27,1.33,0.19,9.71,0.86,0.04,-0.05,0.5,59.75,-7.84,1.14,33,good
